Feature,Feature_col,Event,Before_Mean,Before_Std,At_Mean,At_Std,After_Mean,After_Std,Volatility_Change,Mean_Change_Pct
Raw Vibration Sensor 1,9_57_CZ75_COA_M75_01_Vib_Sns_Val,SH-02 Cobble,-0.0043402785,0.0,-0.0043402775,0.0,-0.0043402785,0.0,,2.1457668481161818e-05
Raw Vibration Sensor 1,9_57_CZ75_COA_M75_01_Vib_Sns_Val,SH-03 Cobble (Dec),3.6022017,0.11113452,3.6090858,0.07299648,3.4729216,0.15793638,0.6568299531936646,0.19110806286334991
Raw Vibration Sensor 1,9_57_CZ75_COA_M75_01_Vib_Sns_Val,SH-03 Cobble (Nov),2.2098765,0.08201858,2.1897786,0.07555705,2.1948786,0.083654575,0.921218752861023,-0.909461259841919
Raw Vibration Sensor 1,9_57_CZ75_COA_M75_01_Vib_Sns_Val,SH-03 Dev Cobble,-0.004328222,9.338794e-05,-0.0043402775,0.0,-0.0043402785,0.0,0.0,-0.2785325050354004
Raw Vibration Sensor 1,9_57_CZ75_COA_M75_01_Vib_Sns_Val,STD14-15 Cobble,-0.0043161656,0.00013094647,-0.0043402775,0.0,-0.004328222,9.338794e-05,0.0,-0.5586426258087158
Vibration Fan 2 - Rate of Change,vib_2_roc,SH-02 Carry Forward,-0.0038097978,0.076176226,-0.0055700243,0.083294705,0.0032310942,0.06962538,1.0934475660324097,-46.20262145996094
Vibration Fan 2 - Rate of Change,vib_2_roc,SH-02 Cobble,-0.0010850688,0.0581089,-0.009910303,0.06590056,0.00033757687,0.082123905,1.1340872049331665,-813.3341064453125
Vibration Fan 2 - Rate of Change,vib_2_roc,SH-03 Cobble (Dec),-0.0008559992,0.017006785,0.00039785838,0.013279433,0.00028935212,0.01851664,0.780831515789032,146.47882080078125
Vibration Fan 2 - Rate of Change,vib_2_roc,SH-03 Cobble (Nov),-0.00015673236,0.015136338,-0.0018807873,0.01281703,3.6168844e-05,0.014809562,0.8467721939086914,-1099.9993896484375
Vibration Fan 2 - Rate of Change,vib_2_roc,SH-03 Dev Cobble,-0.0024233223,0.049190883,-0.004014754,0.048096243,0.0006630977,0.064030014,0.9777470827102661,-65.67149353027344
